,show,theatre,weekly_gross,avg_ticket_price,pct_capacity,avg_ticket_price_cpi,weekly_gross_cpi,cpi,performances,days_diff
109,An American Daughter,Cort Theatre,180834.4,29.52,0.7505399999999999,46.568664380621065,285303.4290944961,169.08,5.933333333333334,0.0
110,An American in Paris,Palace Theatre,1027526.8292682926,95.5464634146341,0.8084353658536583,104.18801848279065,1121466.4109135824,244.87656097560978,7.5,0.0
111,An Enemy of the People,Samuel J. Friedman Theatre,178852.9090909091,47.277272727272724,0.762509090909091,54.60757747690793,206606.16436588689,230.97472727272725,5.363636363636363,0.0
112,An Evening with Jerry Herman,Booth Theatre,60898.5,34.125,0.35028333333333334,52.36200587645058,93474.93288227225,173.83333333333334,4.666666666666667,0.0
113,An Evening with Patti LuPone and Mandy Patinkin,Ethel Barrymore Theatre,415663.77777777775,90.06555555555558,0.6282333333333334,105.62827351614597,487487.46344286454,227.44988888888886,6.333333333333333,0.0
114,An Ideal Husband,Ethel Barrymore Theatre,193883.525,35.03525,0.6420649999999999,56.18222986271684,311009.3435101606,166.37749999999997,7.675,0.0
115,An Inspector Calls,Royale Theatre,247419.7288135593,41.868305084745764,0.718677966101695,70.65543595885369,417741.3580866889,158.13559322033896,7.694915254237288,0.0
116,Anastasia,Broadhurst Theatre,881508.2890566033,105.25273584905665,0.9166688679245278,109.80705737639492,920051.9082352216,256.0770566037733,7.622641509433962,0.0
117,Andre Heller's Wonderhouse,Broadhurst Theatre,32010.333333333332,18.213333333333335,0.23640000000000003,33.81507492461146,59430.7368244027,143.7,3.0,0.0
118,Angels in America: A Gay Fantasia on National Themes,Neil Simon Theatre,890141.4761904762,102.52714285714286,0.9175857142857142,106.46976401212942,924225.2461035241,256.85366666666664,5.380952380952381,0.0
119,Ann,Vivian Beaumont Theater,276396.6842105263,63.1178947368421,0.500957894736842,72.28131232845405,316546.9275332883,232.97900000000004,6.947368421052632,0.0
120,Anna Christie,Criterion Center Stage Right,113897.8,29.815000000000005,0.9892099999999999,52.94541828487587,202228.5141214814,150.24999999999997,5.3,0.0
121,Anna Karenina,Circle in the Square Theatre,71232.625,17.92875,0.8237375000000001,32.2960025939254,128328.29815045815,148.1125,5.75,0.0
122,Anna in the Tropics,Royale Theatre,194724.5,46.350625,0.48880625,63.60518629318002,267251.97741392563,194.425,7.0625,0.0
123,Annie,Martin Beck Theatre,401151.125,50.517812500000005,0.7058843749999999,79.50329530409509,631530.9548848928,169.53125000000003,7.46875,0.0
124,Annie,Palace Theatre,894726.6212121212,85.62833333333332,0.7884409090909089,97.89968850872799,1023081.1788933882,233.38643939393944,7.378787878787879,0.0
125,Annie Get Your Gun,Marquis Theatre,608508.9851851852,57.51355555555556,0.8216162962962967,84.85783717933927,898743.338926301,180.90296296296296,7.7407407407407405,0.0
126,Any Given Day,Longacre Theatre,70103.33333333333,17.486666666666665,0.4693333333333333,30.288867863292566,121458.81499956977,154.03333333333333,5.333333333333333,0.0
127,Anything Goes,Stephen Sondheim Theatre,675555.1285714286,91.19071428571428,0.9084728571428571,107.32036069798384,795422.6368539558,226.77107142857147,7.442857142857143,0.0
128,Anything Goes,Vivian Beaumont Theater,291285.4423076923,37.04557692307694,0.938314423076923,79.3083130340003,624330.8536149054,124.48749999999993,7.538461538461538,0.0
